idx,AuthorID,Name,PaperCount,hIndex,email,Gender
62,10013053,Dan Meir Livovsky,66,13,,
63,10013078,Madhumati Gundapuneni,6,3,,
64,10013125,Rebecca Q Ivers,506,45,,
65,10013181,Gareth Iacobucci,1553,24,,
66,10013274,Tetsuo Okuno,62,14,,
67,10013525,David A Mindell,77,18,,
68,10014478,Marcus Huber,44,17,,0
69,10014713,Leila A Kutteh,33,16,,
70,10014835,Sergio Solimini,80,23,,0
71,10014879,Laurent Fermont,133,26,,
72,10015148,Annemijn M Algra,29,9,,
73,10015869,John Richard Myers,67,21,,
74,10016117,Takehiko Torisu,225,22,,
75,10016124,Matthew P Crayne,12,7,,
76,10016836,Jiaji He,33,6,,
77,10017192,Sambit Ghadai,18,5,,
78,10017193,Aiwei Liu,5,1,,
79,10017317,Cheryl Arko,21,19,,
80,10017542,Philipp Jund,124,24,,
81,10017688,Linh Tran,25,7,,
82,10017806,Taina Juvén,14,12,,
83,10018000,Guy Willms,3,2,,
84,10018154,Domenico Mazzitelli,129,33,,
85,10018249,Tetsu Tatsuma,331,55,,
86,10018324,George Nossent,31,11,,
87,10018465,Jona Ashok Hattangadi,56,12,,
88,10018637,Carter Kolbeck,18,6,,
89,10018661,Fan Hengwei,6,4,,
90,10018985,Joke Atinuke Badejo,54,11,,
91,10019044,Michael William Gaultois,97,21,,
92,10019179,Brad A Yentzer,69,27,,
93,10019708,Frances C Flower,12,9,,
94,10020083,Chuan-Heng Ang,26,9,,
95,10020835,Ami Patel,13,10,,
96,10020926,Rafael Ortiz Ramón,4,1,,
97,10020965,Kira Melamud,26,6,,
98,10021011,Mohammad Ryalat,17,5,,
99,10021143,Matilda W Nicholas,22,6,,
100,10021245,Anzhi Yue,43,11,,
101,10021519,Krystina Quow,11,3,,
102,10021626,Samiullah Shaikh,25,7,,
103,10021778,Sally Christine Reynolds,57,18,,
104,10021846,Zehai Gao,17,5,,
105,10021900,Moxian Song,15,4,,
106,10021971,Robert Kutys,94,30,,
107,10022003,Muthukumar Arunachalam,19,4,,
108,10022084,Michihiro Suwa,144,24,,0
109,10022373,Hisao Ishibuchi,776,71,,0
110,10022427,Vlad Chubuchny,17,6,,
111,10022445,Ang Sun,22,9,,
112,10022456,Thilini Nadungodage,9,4,,
113,10022733,Paul Scorer,29,12,,
114,10022802,Ingharan J Siddarthan,5,4,,
115,10023100,Ulana Lydia Bereza,6,4,,
116,10023364,Anu Turpeinen,42,23,,
117,10023593,Laura Coombs,45,28,,
118,10023899,Assaf Bash,10,4,,
119,10023994,Andreas Scharr,7,6,,
120,10024192,Elliot Mcveigh,403,76,,0
121,10024311,Congju Li,175,33,,
122,10024571,Clarisse Panterne,7,6,,
123,10024588,Enrico Congiu,76,13,,
124,10024662,Randa Mujalli,15,8,,
125,10024915,Heather Kimbriel,16,13,,
126,10024964,Aya Rezeika,23,8,,
127,10024985,Evan Bluhm,1,1,,
128,10025085,Yiwen Shao,11,6,,
129,10025580,Bjørnar Leangen Grenne,51,16,,
130,10025791,Thomas Unold,319,52,,
131,10025861,Chaofeng Chen,17,7,,
132,10025936,Nerea Mangado,10,6,,
133,10025990,Marcello Mauri,3,2,,
134,10026999,Junwen Luo,24,5,,
135,10027191,Baochang Xu,7,2,,0
136,10027532,Charbel Azzi,8,2,,
137,10027677,Henri Azaïs,119,12,,
138,10027862,Dmitry Busko,73,22,,
139,10028146,Wenjing Yue,51,14,,
140,10028450,Lawrence Brennan,37,15,,
141,10028979,Igal Gabriely,1,1,,
142,10029285,Nieves Crasto,5,1,,
143,10029443,Zhengxia He,45,20,,
144,10029552,Veerubhotla Bhanumurthy,37,10,,
145,10029674,Michael H Criqui,734,138,,0
146,10029815,Alwyn Eades,71,8,,0
147,10030112,Amir Hassanfiroozi,19,5,,
148,10030284,Gopan Anju,5,3,,
149,10030328,Tomohiko Akahori,10,6,,
150,10030532,Rouven Essig,142,56,,
151,10031205,Judith L Reishtein,18,7,,
152,10031298,Roberto Javier López Sastre,6,2,,
153,10031548,Kunfeng Chen,162,39,,
154,10032053,Seth I Sokol,38,14,,
155,10032231,Bence Suhai,10,5,,
156,10032491,Haoran Song,19,7,,
157,10032615,Predrag Vucinić,18,5,,
158,10032749,Vladyslav Bozhynov,9,3,,
159,10032842,Ying-Ying Xu,21,8,,1
160,10033260,Huang Zifang,6,4,,
161,10033329,Alicja Rapala,50,12,,
162,10033539,Shota Ichikawa,27,5,,
163,10033690,Emil Melander,24,7,,
164,10033707,D. Benarab,6,3,,
165,10034061,Hamid Salimi,9,6,,
166,10034387,Nomfundo F Moroe,35,7,,
167,10034515,Paul F Hoffmann,11,9,,
168,10034591,Ethan Sahker,59,12,,
169,10035001,Wangyi Fang,19,5,,
170,10035125,Juan Carlos Medialdea Rosales,6,4,,
171,10035253,Clifford H Koger,57,27,,
172,10035299,F. Rex Betheras,19,8,,
173,10035476,Rongmei Lin,14,7,,1
174,10035513,Toby William Waine,49,15,,
175,10035590,Matthew R Clements,7,2,,
176,10035671,Matteo Giansanti,19,16,,
177,10036567,Sajjad Seifozzakerini,4,2,,
178,10036611,Alain Comtet,98,32,,
179,10036714,Yu-Hsun Hsieh,1,1,,
180,10037009,Martin Soellradl,7,3,,
181,10037574,Brian Seal,279,22,,
182,10037725,Irena Stará,205,31,,
183,10037771,Barnyen Permpanich,27,15,,
184,10038090,Isa Doverbratt,19,8,,
185,10038494,Omar Z Youssef,52,14,,
186,10038824,Shunyuan Yu,8,7,,
187,10038826,Lucas Rezende Gomide,44,9,,
188,10038947,Nicola Anyamene,23,7,,
189,10039752,J. Lluis Mont,10,5,,
190,10039795,Rongke Gao,28,14,,
191,10040378,Sepehr Zargaran,4,3,,
192,10040395,Andrea Claudio Santomaso,81,21,,
193,10040540,Manuel Haussmann,13,7,,
194,10040744,Hiroshi Juri,23,8,,
195,10040772,Anthony Erlinger,22,9,,
196,10040899,Carl Toft,18,9,,
197,10041131,Saravanan Namasivayam,22,12,,
198,10041614,Giorgos Karvounas,6,3,,
199,10041691,Peter Knief,20,13,,
200,10041850,Guillermo De Arcas,41,9,,
201,10041957,Jianguo Jiao,2,1,,
202,10042034,Kae Kawanishi,22,14,,
203,10042249,Monica O’guinn,54,29,,
204,10042761,Raul Nakamatsu,19,4,,
205,10042914,Sophie Maillard,22,8,,
206,10042929,Zohre Amoozgar,66,25,,
207,10042932,Zijun Deng,10,8,,
208,10043052,Tomoko Hyodo,69,19,,
209,10043322,Harald Brunvand,56,19,,
210,10044025,Silvia Pedetti,21,14,,
211,10044136,Shaun Harrigan,84,24,,
212,10044190,Arnold J V Benjamin,18,4,,
213,10044224,Daniela Aschieri,96,15,,
214,10044393,Robert John Bainbridge,995,88,,
215,10044423,Dave Ranney,53,14,,
216,10044589,Edgar Riba,7,4,,
217,10044768,Yang Junlin,23,4,,
218,10045088,Raimo Virkki,18,10,,
219,10045269,Javier Cabrerizo,38,7,,
220,10045381,Zain Lodhi,5,1,,
221,10045534,Ivan Huerta Casado,25,13,,0
222,10045620,Amy Parker,8,5,,
223,10045724,Thomas R Marotta,156,29,,
224,100461090,Nicolas Barrero,2,2,,
225,100461193,Joan Marie Johns,2,1,,
226,100461296,Petr Jasek,9,3,,
227,100461487,Bertram Schreiber,40,11,,
228,100462117,Sihan Yuan,23,9,,
229,100462728,Sufian Y. Husseini,48,16,,
230,100463570,Juan Rosenzweig,3,2,,
231,10046371,Jan Peter Larsen,297,86,,
232,10046433,Martin Sandve Alnaes,1,1,,
233,10046435,George Sfikas,25,5,,
234,100464416,Nimish Sorathiya,2,1,,
235,100464824,Simon Fellowes,16,6,,
236,100465017,Andrew Gershun,3,2,,
237,100465032,Guijing Zhang,1,1,,
238,100465078,Roberto Arroyo Contera,3,1,,
239,100465203,A.jean Slaughter,527,44,,
240,100465756,Mette Sandbye,17,5,,
241,100466247,Árd́ıs Eĺıasdóttir,16,10,,
242,100466287,Yufei Xia,23,12,,
243,100466411,Elizabeth Kautz,65,12,,
244,10046666,Michael F Sweeney,8,5,,
245,100466830,Zhaojiang Lin,33,19,,
246,100468108,Kenichi Sugihara,57,7,,
247,100468503,Zhengzhong Liu,9,6,,
248,10046858,Michel Coret,101,21,,0
249,100468670,Vladimir Rotkin,7,2,,
250,100468925,Liping Yi,6,2,,
251,100468985,Benjamin Lacey,93,30,,
252,10046984,Janna D Lendner,14,5,,
253,100469875,Sarah Everton,9,5,,
254,100469977,Eliav Elul,3,1,,
255,100470867,Cengsi Zhong,7,4,,
256,100470917,Eberhard Kaniuth,116,19,,
257,100471319,Lene Lindberg,66,24,,
258,100471548,Hugues Talbot,17,5,,
259,100471549,Kathryn V Johnston,200,47,,
260,100471649,Ludwig Paditz,11,4,,
261,100471890,Ainur Yessenaliyeva,1,1,,
262,100472565,Gabriele Coppi,68,15,,
263,100472570,Werner Dallapiazza,6,4,,
264,100472725,Camilla Arndt Hansen,8,2,,
265,10047304,Clemens Warnke,149,31,,
266,100473459,Robert Nilson Wayumba,13,5,,
267,100473540,Marek Kuczma,131,14,,
268,100473839,Maria Calasso,1,1,,
269,100474520,Cl'ement Hongler,39,18,,
270,100475415,Francisco Vicente,4,3,,0
271,10047562,F. M. Robatto,21,11,,
272,100475712,Alyssa Recinella,8,5,,
273,100475790,Matthew Paugh,3,1,,
274,100476218,Asa Bluck,61,26,,
275,100477444,Beniamino Segre,50,16,,
276,100478990,Julian Ziegleder,31,11,,0
277,100478999,William Mell,66,16,,
278,100479214,Matteo Suatoni,3,2,,
279,10047935,Daniel P Leman,6,5,,
280,100479422,Jérôme Hosselet,38,8,,
281,100479667,Patrick Verovic,12,6,,
282,100479873,Hermann Von Helmholtz,85,22,,
283,100480099,Laura Bergsten,422,55,,
284,10048021,Steven Running,483,130,,0
285,100480445,Gabriel Lang,32,13,,0
286,10048059,Pei‐Jer Chen,632,88,,
287,100481137,Antonio Pantuso,4,4,,
288,100481466,Milena Kukova,2,2,,
289,100482378,Shunsuke Hijikata,8,1,,
290,100482581,Jeffrey Glenn Royal,20,8,,
291,100482670,Matt R. Jardin,6,4,,
292,100482875,Matthew Thiesse,42,14,,0
293,100482921,Sergey E Savel'ev,262,40,,
294,100483321,Morten Wied,12,6,,
295,100483673,Joseph R Ristorcelli,76,17,,
296,10048410,Greg A Kicska,66,16,,
297,100485679,Gondi Kondaiah Ananthasuresh,267,37,,
298,100485724,Jason Wei Jian Ng,2,2,,0
299,100486203,Brajesh Chandra Choudhary,1527,101,,0
300,100486901,Klaus Gürlebeck,143,22,,0
301,100489439,Horace W. Babcock,95,21,,
302,10048952,Robert Lustig,141,28,,
303,100489575,Panagiotis Dimitrios Antoniadis,21,7,,
304,100490525,Abrie Oberholster,6,3,,
305,10049177,Massimo Giammaria,89,17,,
306,10049227,Jens Eckstein,79,23,,
307,100493434,Malak Olamaie,68,19,,
308,100494344,Maxine Mackintosh,14,4,,
309,10049524,Craig D Ainsworth,47,11,,
310,100496719,Nadia Hebson,16,1,,
311,100497277,Shuichi Nagasawa,9,2,,
312,100497299,Ibnu Daqiqil Id,7,2,,
313,10049800,Esther I Verhoef,40,16,,
314,100498633,Gray Yarbrough,54,18,,
315,100498901,Liliya Yurievna Kataeva,2,1,,
316,100498948,Yann Guichoux,5,3,,
317,100499223,Daniel Vriesman,7,3,,
318,100499868,Victor Guillemin,76,17,,
319,100500024,Linda Ostman,23,9,,1
320,100500418,Seong Keun,2,0,,
321,100500680,Vladimir Groza,18,3,,
322,100501352,ConejeroAndres,1,1,,
323,100501645,Jun-Myung Choi,2,1,,
324,10050183,Ricardo Beyruti,21,9,,
325,100502608,Daniel Chianucci,2,1,,
326,100502644,Anchal Pandey,8,2,,
327,100502852,Jacek Czaja,3,2,,
328,100502919,Bahri Mawardi,4,4,,0
329,100503413,Kevin Yarritu,8,7,,0
330,100503466,Rachel Sussman-wander Kaplan,116,46,,
331,100503677,Vincenzo Maria Tortorelli,15,6,,0
332,100504441,Dylan Madisetti,3,2,,
333,100504854,Kan Wu,52,17,,
334,100505001,María Esperanza Iñiguez,14,7,,
335,100505404,Helmholtz-Zentrum Geesthacht,8,3,,
336,100505449,Albert Gordo,3,1,,
337,100505740,Ivan Lacerna,52,19,,
338,100505887,Monica Kohler,105,22,,
339,100506648,Anshul Nasery,4,2,,
340,100506780,Voss Catalin,1,1,,
341,10050712,Stefanie Liebe,28,6,,
342,100507300,Jianjun Qi,6,3,,
343,100508089,Henrik Nielsen,33,19,,
344,100508098,You Zhan,30,10,,
345,100508433,Ying Zhao,6,5,,
346,100508434,Ying-zhu Zhao,3,2,,
347,10050888,Jun-ichi Inoue,218,20,,0
348,100508901,Robert Wolfe,14,4,,
349,10051023,Andrew H Evans,161,39,,
350,100510340,Rodrigo Leonardi,248,82,,
351,100511631,Fedir Vasko,138,13,,
352,100511700,Francesca R. Boffi,31,8,,
353,100512919,Paul Prichard,54,27,,
354,10051358,Dan Oss,9,3,,
355,100513914,G. Miatt,1,1,,
356,100514179,Peter Ramsay,66,12,,
357,100514313,Qie Zhang,19,11,,
358,100514330,Jeff Magee,180,52,,
359,10051505,Alban Lovis,84,13,,
360,10051509,Ana María Bedate,10,7,,
361,10051524,Cristian-constantin Molder,39,4,,0
362,100515692,Francoise Demengel,11,5,,1
363,100515705,Kristina Monakhova,16,5,,
364,100516201,Kai Yi,18,5,,
365,100516247,H-a Pan,75,17,,
366,10051656,Guillaume Freychet,73,10,,
367,100516590,Peihao Zhu,15,7,,
368,100516708,Aibin Yan,9,6,,
369,100516994,Cedric Colling,3,3,,
370,100517184,Tyler H. Weston,7,2,,
371,100517407,K-b Kim,44,15,,
372,10051793,Bhumika Bhatt,15,6,,
373,100518192,Tomas Vermeire,12,3,,
374,100518932,Robert Burckel,61,8,,
375,100519013,Puay Hoon Tan,6,3,,1
376,100519346,Yanting Lan,10,2,,
377,100520446,Tran Duc Van,21,4,,
378,100521158,Vivian Lai Ki Wan,3,1,,
379,100521841,Foram Sanghavi,7,2,,
380,10052215,Joscha Schork,8,4,,
381,100522627,Norman Lebovitz,90,21,,
382,10052270,Matej Jurkovic,185,41,,
383,100522963,Baha Balantekin,25,8,,0
384,100523146,Marco Nyarko,8,1,,
385,100524460,Jean‐charles Cuillandre,30,8,,
386,10052527,Laleh G Melstrom,166,31,,
387,100525940,Dan Mcfarland,88,35,,
388,100526530,Margherita Giustini,84,25,,
389,100526595,Catherine Sandoval,3,2,,
390,100527494,Gaoqiang Kang,8,6,,
391,10052823,Eric J Gandras,32,8,,
392,100528457,Pete Woznowski,5,2,,
393,100528557,Gagan Singla,10,2,,
394,100528882,Melissa Patricia Coral,1,1,,
395,100529181,Mjd Powell,2,1,,
396,100529381,Tiantian Fang,5,2,,
397,100529689,Matthew Nicol,5,3,,
398,100529694,Konstantinos Mentzelos,1,1,,
399,100529766,Hideki Yagi,106,9,,
400,100530135,Andrew Kaufman,6,6,,
401,100531307,A. G. U. Lso,1,1,,
402,100531488,Miguel A. Rom'an,1,1,,
403,100531755,Nicolas Humeau,3,2,,
404,100532061,Yaacov Ritov,184,35,,0
405,10053220,Jiasheng Xiao,15,6,,
406,100532777,Alexey Dzyuba,1390,95,,
407,100532829,Martin Pecsy,150,45,,
408,100533078,Claudia Goldin,229,67,,1
409,100533173,Radu Prodan,27,5,,
410,100533740,Leonid Rivkin,106,14,,
411,100533976,Haoyuan Gu,7,3,,
412,100535293,Susumu Tsukamoto,110,19,,
413,100535322,Andrei Bocin,14,4,,
414,100535596,Fabian Lindner,54,11,,
415,10053591,Amanuel Gebremedhin,48,20,,
416,100536083,Darren Wang,6,1,,
417,100536413,Ahmed Arabi Hassen,71,15,,
418,100536788,Kouki Teramoto,1,1,,
419,100537135,Stig Børsen Hansen,30,4,,
420,100537432,Hao He,6,2,,
421,100537850,Ryunosuke Kido,19,6,,
422,100538173,Juan Cortina,412,60,,
423,10053930,Nicole Sheshe,1,1,,
424,100539515,Mikael Rordam,103,35,,0
425,100540103,Yael Fregier,21,11,,
426,100540210,Zhou Zijie,10,3,,
427,100540760,C. R. Varoy,1,1,,
428,100541822,Abhijeet Ghadge,79,22,,
429,100542227,Maximilian Hochstein,14,1,,
430,100542938,Loïc Foissy,75,17,,
431,100543161,Wilfred Frieswijk,85,32,,0
432,100543209,Seth Baird,6,2,,
433,100544173,Kodikara Arachchige Tharindu L Kodikara,9,3,,
434,100544547,Filippo Bandini,36,9,,
435,100544679,Yanming Lee,4,1,,
436,10054523,Massimo Conio,186,36,,
437,100545616,Adnane Jadid,7,2,,
438,100546051,Florczyk Aneta,15,7,,
439,10054744,Alena Fenogenova,21,6,,
440,100547861,Argyrios Vartholomaios,3,2,,
441,100548398,Johannes Wacker,11,7,,
442,100548599,Francois Auger,100,23,,0
443,100549829,Seyedamirali Mostafavizadeh Ardestani,4,3,,
444,100549867,Emma Nicole Fernyhough,1,1,,
445,100549905,Xun Kun,91,5,,
446,100550660,Hans Christian Asminn Andersen,142,49,,
447,100550937,Cynthia Zeng,7,2,,
448,10055136,Charles L Feldman,166,41,,
449,100551604,Jacques Simeon,1,1,,0
450,100551700,Djelloul Djafer,27,11,,0
451,100551734,Haydar Oguz Erdin,4,2,,
452,100552017,Yasaman Esfandiari,9,5,,
453,100552170,Chris Flynn,247,52,,
454,100552721,Nor Azli,4,2,,
455,100553483,Seng Huat Ong,93,15,,
456,100554476,Omar Mohamed Naufal,1,1,,
457,100554745,Imane Lemammer,2,1,,
458,10055492,John M Mendenhall,35,19,,0
459,100556001,A J Barthelmess,5,4,,
460,100557282,Benjamin Rothwell,9,4,,
461,100557805,Kian Boon Koh,7,3,,
462,10055796,Zhuodong Xu,14,6,,
463,100557961,Nigamaa Nayakanti,10,5,,
464,100558042,John A Krommes,148,28,,
465,100558361,Tiisetso Masiane,1,1,,
466,100558638,Victor Daniel Elvira,1006,88,,
467,100558652,Dan Tamayo,61,16,,
468,100558661,Aiqing Fang,14,4,,
469,100558693,Federico Selvi,175,35,,
470,10055876,Meesha Chaturvedi,12,7,,
471,100560247,Krzysztof Graczyk,61,16,,0
472,100560793,ハンラハン ケビン,1,1,,
473,100561016,Ludwig Berwald,30,11,,0
474,100562003,Marcel Riesz,34,14,,0
475,100562426,Inna Polichtchouk,53,15,,
476,100562824,Evgeny Shchepin,55,11,,0
477,100563136,Tuomas Kynkäänniemi,6,1,,
478,100563354,Lina Petrakieva,11,4,,1
479,100563390,Renato Resende Angelin,3,2,,
480,100563611,Pietro Tortella,9,4,,
481,100564279,Meagan Ellis,4,1,,
482,100564537,Na-rae You,14,2,,
483,100564615,Simone Pagan Griso,634,72,,
484,100565216,LongHei,1,1,,
485,100565707,Jaehoon Yu,230,49,,0
486,100565758,Yoshinori Fukao,332,48,,
487,100565885,Yves Roblin,150,21,,
488,100566396,Gerassimos Barbatis,48,13,,0
489,100566422,H. H. Li,5,3,,
490,100567163,Areth,6,3,,
491,100568378,Adrian Filip Ocneanu,35,15,,
492,100568405,Igor Krichever,158,45,,0
493,100568964,Gabriel Mokobodzki,53,9,,
494,100569505,Eleonora Bernasconi,15,4,,
495,100570026,Somashekhar Naimpally,119,19,,
496,10057087,Rini Wongso,18,6,,
497,100571134,Harry Edward Coules,89,16,,
498,100571221,Iraj Saleh,16,3,,
499,100571571,Fabien Lacasa,53,18,,
500,100572207,René Koraan,7,2,,
501,100572215,Vladimir Babintsev,457,54,,
502,100572229,Madhuri Tonge,2,2,,
503,100572373,Ferrara Pasquale,4,1,,
504,10057253,Cara Joyce,155,24,,
505,100572820,Jakkula Nataraju,4,2,,
506,100574205,Jamie A. Camelio,3,3,,
507,100574291,Wonil Kim,93,10,,0
508,100574332,Masaki Teranishi,36,3,,
509,100574769,George Mylonas,8,2,,
510,100575051,Song Yibo,5,2,,
511,100575641,Jose Manuel Lopez-guede,158,16,,
512,100575829,Frank Linton,26,12,,
513,100576304,Deepkumar Patel,15,3,,
514,100576598,William Cabot,90,26,,
515,100576967,Yanjun Liu,43,10,,
516,100576986,Yue Liu,215,18,,
517,100577021,Yakun Liu,7,3,,
518,100578059,Fityanul Akhyar,13,3,,
519,100578750,Hongcang Yang,14,10,,0
520,100578899,Ysoline Thuon,2,2,,
521,100579654,Afaqul Zafer,19,7,,
522,100580083,Carolyn Pillers Dobler,31,12,,1
523,10058029,Rutger Boels,53,28,,
524,100581265,Dhanalakshmi Sathishkumar,19,5,,
525,100581302,Ramadan Jabr Mustafa,12,6,,
526,100582312,Giulia Repossini,2,1,,
527,100583108,Zack Xuereb,1,1,,
528,100584783,Burglind Jöricke,38,10,,
529,100584805,Jia-Jie Peng,5,3,,
530,100585693,Slobodan Vasilić,5,3,,
531,10058570,Romualdo Del Buono,49,9,,
532,100585969,Stephen M. Samuels,39,20,,
533,100586326,Ruslan Agishev,15,5,,
534,100587352,Thiago Goncalves,53,15,,
535,100587614,Tom Dombeck,73,16,,0
536,100587675,David B. Augustine,18,4,,
537,100588269,Fabrice Brimioulle,19,13,,0
538,100588507,Markus Hillemann,10,4,,
539,100588696,Syrris Vasileios,19,8,,
540,100588733,Carl Anders Olof Kjörling,2,1,,
541,100588826,Guanqing Hu,3,2,,
542,10058947,Albert Kanza,1,1,,
543,100589923,Cristiana Stănescu,873,82,,
544,100589933,Fannian Meng,30,6,,
545,100590773,Larry Wasserman,20,11,,0
546,10059078,Angelo Nikko Catapang,2,2,,
547,100591248,Alireza Hooman,8,3,,
548,100592216,Tomohiro Motoda,22,4,,
549,100592771,Matthew Strom Borman,12,9,,0
550,10059293,John Chorba,24,10,,
551,100593443,Howard Garcia,62,19,,
552,100594339,Li Guangbin,51,9,,
553,100594391,Lisa Krainz,5,2,,
554,100594484,Shiing-shen Chern,229,52,,
555,100594898,V. N. Temli︠a︡kov,2,2,,0
556,100595640,Raiza Borreo,2,1,,
557,100595843,Jennifer Trosper,4,1,,
558,100596103,Dimitra Lekkas,25,12,,
559,100597243,Raimundo Lopes De Oliveira,30,8,,
560,100597244,Renata Oliveira,18,6,,
561,100597250,Roberto Oliveira,7,4,,0
562,100597835,Jean Morisset,6,4,,
563,100597985,Valery Borisovich Nevzorov,141,15,,
564,100599124,Friedrich Niemann,7,5,,
565,100599150,Chuandong Guo,6,4,,
566,100599853,Reteeba Algoufi,1,1,,
567,100599954,Mahmoudi Firouz,8,4,,
568,100600552,Obs Paris,237,48,,0
569,100601697,Todd Hoeksema,37,6,,
570,100601757,Ryota Moritani,6,2,,
571,100602352,Richard F. Fenno,78,20,,
572,100602595,Mandi Luo,16,4,,
573,100602630,Xinyuyang Ren,2,2,,
574,100602732,Heeseo Rain Kwon,6,4,,
575,100602797,Laura Mora Ballestar,4,2,,
576,10060302,Alexandra Panteleon,14,5,,
577,100603692,Robert Ross Bosley,24,10,,
578,100604466,Maher Ibrahim Seeni,2,2,,
579,100604560,Aryslan Malik,20,4,,
580,100605090,John Valdez,12,5,,
581,100605722,Johann Nitsche,37,10,,
582,100605772,Rebecca Off,4,2,,
583,100605910,Sittiporn Channumsin,34,4,,
584,100606176,Trenton S. Hartman,10,5,,
585,10060710,Frida Emanuelsson,23,9,,
586,10060721,Byung-Gyu Kim,103,16,,
587,100607886,Henry Helson,94,24,,0
588,100608855,Khan Mohammad Habibullah,10,5,,
589,100611267,Rutu Dave,18,7,,
590,100611365,Josh Mcfayden,847,85,,
591,100611775,Tom Runge,2,1,,
592,10061360,Neeti Kapoor,57,19,,
593,100613638,Gerrit Burgers,65,31,,0
594,100613971,Gang Li,45,20,,
595,100615515,Thomas Kaijser,19,7,,
596,100615723,Robert Arthur Gingold,35,13,,0
597,10061665,Antoine Deplagne,60,21,,
598,100616678,Ángel Gómez Fernández,64,26,,
599,100616949,Sean Kinzer,10,4,,
600,100617323,Randy Cutler,18,1,,
601,100617324,Roger Thayer Cutler,22,7,,
602,100618852,Simon Bultmann,14,5,,
603,100619719,Vygantas I Paulauskas,62,12,,
604,100620492,Emilio Donoso,20,11,,
605,100620657,Richard Lockhart,89,20,,
606,100620761,Xiang Zhang,31,16,,
607,100620810,Howard Eisner,37,5,,
608,100621265,Bassam El Said,12,6,,
609,100622154,Erik Holmberg,23,9,,
610,100623059,Viakalathur Shankar Sunder,105,18,,
611,100625543,J .e. Kim,869,69,,0
612,100626285,Lucy Lim,110,20,,
613,100626291,Stéphane Couckuyt,11,1,,
614,100627052,Tianxi Jiang,14,8,,
615,10062707,Teague M Mcginitie,12,8,,
616,100627129,George Pantazopoulos,126,19,,
617,100628895,Riffo,1,1,,
618,100629034,Georgiĭ Evgenʹevich Shilov,50,18,,0
619,100629177,Bernard Mills,60,16,,
620,100629705,Ayman El-sayed,140,16,,
621,10062981,Tom Mwambingu,4,1,,
622,100630348,Padamata Tarun,6,5,,
623,10063039,Mark Buckingham,13,5,,
624,100630765,Yuguang Yao,16,4,,
625,100631564,David Agudelo Tapias,12,0,,
626,100631816,Jaroslav Tišer,24,9,,0
627,100632068,Osama Ahmed Masood,3,2,,
628,100632400,Gabriele Imbalzano,41,11,,
629,100632489,Salvatore Sarno,14,5,,
630,10063332,Nathalie Jongen,28,12,,
631,10063380,Marcel Agüeros,109,31,,0
